date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,sentiment,clean_review
2024-05-04,Review title 348,The app is okay and does its job reasonably well.,3,user348,71,10,App Store,fr,India,4.2.1,No,Neutral,app okay job reasonably well
2024-08-02,Review title 253,The app is okay and does its job reasonably well.,3,user253,108,10,Amazon,en,Kenya,4.2.1,No,Neutral,app okay job reasonably well
,Review title 467,Amazing quality and user-friendly interface.,4,user467,108,5,Website,en,Germany,4.2.1,Yes,Positive,amazing quality userfriendly interface
,Review title 419,"Very disappointing experience, the app crashes often.",2,user419,130,7,Amazon,pt,Kenya,5.0.3,No,Negative,disappointing experience app crash often
,Review title 149,"Very disappointing experience, the app crashes often.",2,user149,17,7,Flipkart,ar,France,4.2.1,No,Negative,disappointing experience app crash often
2024-03-07,Review title 67,"Very disappointing experience, the app crashes often.",1,user67,44,7,Flipkart,fr,USA,3.5.6,Yes,Negative,disappointing experience app crash often
,Review title 309,"Waste of time, does not meet expectations.",1,user309,107,7,Google Play,de,Germany,4.2.1,No,Negative,waste time meet expectation
,Review title 429,"Waste of time, does not meet expectations.",2,user429,2,7,App Store,de,Nepal,5.0.3,No,Negative,waste time meet expectation
,Review title 258,Works fine but there is room for improvement.,3,user258,95,8,Google Play,zh,Italy,4.2.1,Yes,Neutral,work fine room improvement
,Review title 208,Works fine but there is room for improvement.,3,user208,61,8,Website,hi,USA,3.5.6,Yes,Neutral,work fine room improvement
,Review title 360,"Not bad, but updates are needed for better performance.",3,user360,188,9,Google Play,zh,Qatar,1.2.3,No,Neutral,bad update needed better performance
,Review title 480,Works fine but there is room for improvement.,3,user480,142,8,Amazon,ja,Kenya,5.0.3,Yes,Neutral,work fine room improvement
2024-08-09,Review title 294,"Excellent app, very easy to use and extremely helpful.",4,user294,48,9,Website,hi,Germany,4.2.1,Yes,Positive,excellent app easy use extremely helpful
,Review title 48,"Not satisfied, many bugs and issues.",1,user48,87,6,Website,pt,USA,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 336,"Excellent app, very easy to use and extremely helpful.",5,user336,65,9,App Store,hi,France,4.2.1,Yes,Positive,excellent app easy use extremely helpful
,Review title 272,"Not satisfied, many bugs and issues.",1,user272,161,6,App Store,fr,Kenya,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 17,Amazing quality and user-friendly interface.,4,user17,83,5,Google Play,ja,India,3.5.6,No,Positive,amazing quality userfriendly interface
,Review title 36,"Decent app, neither too good nor too bad.",3,user36,6,8,Amazon,zh,Italy,4.2.1,No,Neutral,decent app neither good bad
,Review title 46,"Great experience, smooth performance and useful features.",4,user46,186,7,Flipkart,fr,France,1.2.3,Yes,Positive,great experience smooth performance useful feature
2024-03-05,Review title 421,"Great experience, smooth performance and useful features.",4,user421,29,7,Flipkart,es,Nepal,3.5.6,Yes,Positive,great experience smooth performance useful feature
,Review title 77,"Average experience, some features could be improved.",3,user77,139,7,Flipkart,zh,Poland,3.5.6,Yes,Neutral,average experience feature could improved
,Review title 139,"Excellent app, very easy to use and extremely helpful.",5,user139,25,9,Amazon,pt,Poland,5.0.3,Yes,Positive,excellent app easy use extremely helpful
,Review title 239,"Terrible experience, needs major improvements.",2,user239,5,5,App Store,de,India,2.1.4,No,Negative,terrible experience need major improvement
2024-05-05,Review title 6,"Waste of time, does not meet expectations.",2,user6,156,7,App Store,en,Nepal,3.5.6,No,Negative,waste time meet expectation
,Review title 29,The app is okay and does its job reasonably well.,3,user29,118,10,App Store,fr,Italy,1.2.3,No,Neutral,app okay job reasonably well
,Review title 102,"Waste of time, does not meet expectations.",2,user102,175,7,App Store,zh,Germany,1.2.3,No,Negative,waste time meet expectation
,Review title 379,"Very disappointing experience, the app crashes often.",1,user379,60,7,Google Play,hi,India,2.1.4,No,Negative,disappointing experience app crash often
,Review title 117,"Highly satisfied, the app works exactly as expected.",5,user117,86,8,App Store,de,Qatar,4.2.1,No,Positive,highly satisfied app work exactly expected
2024-09-06,Review title 346,"Very disappointing experience, the app crashes often.",2,user346,105,7,Website,pt,Qatar,3.5.6,Yes,Negative,disappointing experience app crash often
,Review title 62,"Highly satisfied, the app works exactly as expected.",4,user62,194,8,Google Play,es,USA,1.2.3,Yes,Positive,highly satisfied app work exactly expected
,Review title 208,Works fine but there is room for improvement.,3,user208,61,8,Website,hi,USA,3.5.6,Yes,Neutral,work fine room improvement
,Review title 237,"Waste of time, does not meet expectations.",2,user237,161,7,Website,ja,Poland,5.0.3,No,Negative,waste time meet expectation
2024-01-06,Review title 260,Works fine but there is room for improvement.,3,user260,100,8,Amazon,ar,Germany,2.1.4,No,Neutral,work fine room improvement
2024-03-07,Review title 428,"Decent app, neither too good nor too bad.",3,user428,69,8,Google Play,ja,Nepal,4.2.1,No,Neutral,decent app neither good bad
,Review title 93,"Excellent app, very easy to use and extremely helpful.",5,user93,196,9,Amazon,ja,France,3.5.6,No,Positive,excellent app easy use extremely helpful
2024-06-02,Review title 15,Works fine but there is room for improvement.,3,user15,78,8,Flipkart,hi,USA,3.5.6,Yes,Neutral,work fine room improvement
,Review title 309,"Waste of time, does not meet expectations.",1,user309,107,7,Google Play,de,Germany,4.2.1,No,Negative,waste time meet expectation
2024-02-03,Review title 395,The app is okay and does its job reasonably well.,3,user395,195,10,Amazon,hi,Germany,3.5.6,Yes,Neutral,app okay job reasonably well
,Review title 150,"Not satisfied, many bugs and issues.",2,user150,189,6,Google Play,hi,Kenya,2.1.4,Yes,Negative,satisfied many bug issue
,Review title 486,Works fine but there is room for improvement.,3,user486,121,8,Website,zh,Italy,5.0.3,Yes,Neutral,work fine room improvement
,Review title 89,"Terrible experience, needs major improvements.",2,user89,144,5,Flipkart,ar,USA,4.2.1,Yes,Negative,terrible experience need major improvement
,Review title 321,"Not bad, but updates are needed for better performance.",3,user321,153,9,App Store,fr,USA,2.1.4,Yes,Neutral,bad update needed better performance
,Review title 366,Amazing quality and user-friendly interface.,4,user366,193,5,Amazon,es,France,4.2.1,No,Positive,amazing quality userfriendly interface
,Review title 312,"Highly satisfied, the app works exactly as expected.",4,user312,99,8,Website,de,UK,2.1.4,No,Positive,highly satisfied app work exactly expected
,Review title 211,"Terrible experience, needs major improvements.",1,user211,132,5,Flipkart,en,UK,1.2.3,Yes,Negative,terrible experience need major improvement
2024-03-07,Review title 428,"Decent app, neither too good nor too bad.",3,user428,69,8,Google Play,ja,Nepal,4.2.1,No,Neutral,decent app neither good bad
,Review title 232,"Not bad, but updates are needed for better performance.",3,user232,74,9,Flipkart,fr,Poland,5.0.3,Yes,Neutral,bad update needed better performance
,Review title 431,"Great experience, smooth performance and useful features.",5,user431,164,7,App Store,fr,USA,1.2.3,No,Positive,great experience smooth performance useful feature
,Review title 74,"Highly satisfied, the app works exactly as expected.",4,user74,20,8,Google Play,ja,UK,1.2.3,No,Positive,highly satisfied app work exactly expected
2024-08-07,Review title 293,"Excellent app, very easy to use and extremely helpful.",5,user293,61,9,Website,hi,USA,5.0.3,Yes,Positive,excellent app easy use extremely helpful
2024-04-09,Review title 56,"Excellent app, very easy to use and extremely helpful.",4,user56,53,9,App Store,es,Qatar,2.1.4,No,Positive,excellent app easy use extremely helpful
,Review title 424,Very reliable and worth using regularly.,5,user424,7,6,Flipkart,de,Nepal,1.2.3,No,Positive,reliable worth using regularly
2024-09-02,Review title 50,Works fine but there is room for improvement.,3,user50,119,8,Amazon,de,Poland,5.0.3,Yes,Neutral,work fine room improvement
2025-05-08,Review title 170,Amazing quality and user-friendly interface.,4,user170,71,5,Amazon,zh,Kenya,5.0.3,No,Positive,amazing quality userfriendly interface
,Review title 142,"Excellent app, very easy to use and extremely helpful.",5,user142,20,9,App Store,hi,India,4.2.1,No,Positive,excellent app easy use extremely helpful
2024-03-01,Review title 420,"Very disappointing experience, the app crashes often.",1,user420,124,7,Flipkart,es,France,5.0.3,No,Negative,disappointing experience app crash often
2025-05-04,Review title 112,Poor performance and not user-friendly.,2,user112,129,5,Amazon,fr,Nepal,1.2.3,No,Negative,poor performance userfriendly
2024-08-06,Review title 44,"Highly satisfied, the app works exactly as expected.",5,user44,55,8,Flipkart,pt,USA,1.2.3,No,Positive,highly satisfied app work exactly expected
,Review title 134,"Terrible experience, needs major improvements.",2,user134,199,5,App Store,ja,Qatar,3.5.6,Yes,Negative,terrible experience need major improvement
,Review title 24,Poor performance and not user-friendly.,2,user24,126,5,Google Play,fr,Qatar,2.1.4,Yes,Negative,poor performance userfriendly
2025-01-09,Review title 355,Poor performance and not user-friendly.,1,user355,188,5,Amazon,fr,Kenya,5.0.3,Yes,Negative,poor performance userfriendly
2025-04-06,Review title 444,"Not bad, but updates are needed for better performance.",3,user444,65,9,Amazon,en,France,1.2.3,Yes,Neutral,bad update needed better performance
,Review title 478,"Highly satisfied, the app works exactly as expected.",5,user478,58,8,Google Play,zh,India,5.0.3,No,Positive,highly satisfied app work exactly expected
,Review title 377,"Not satisfied, many bugs and issues.",2,user377,141,6,Website,en,USA,3.5.6,No,Negative,satisfied many bug issue
,Review title 25,"Average experience, some features could be improved.",3,user25,75,7,Flipkart,fr,USA,4.2.1,Yes,Neutral,average experience feature could improved
2024-05-04,Review title 367,"Waste of time, does not meet expectations.",1,user367,50,7,Website,zh,India,3.5.6,No,Negative,waste time meet expectation
,Review title 250,"Highly satisfied, the app works exactly as expected.",4,user250,18,8,Website,en,India,4.2.1,No,Positive,highly satisfied app work exactly expected
,Review title 446,"Highly satisfied, the app works exactly as expected.",4,user446,88,8,Flipkart,ar,UK,2.1.4,Yes,Positive,highly satisfied app work exactly expected
2024-07-05,Review title 496,"Waste of time, does not meet expectations.",2,user496,81,7,Flipkart,ja,Qatar,1.2.3,No,Negative,waste time meet expectation
,Review title 449,"Not satisfied, many bugs and issues.",2,user449,120,6,Flipkart,en,Italy,4.2.1,No,Negative,satisfied many bug issue
,Review title 422,"Waste of time, does not meet expectations.",1,user422,9,7,Amazon,de,Kenya,4.2.1,Yes,Negative,waste time meet expectation
,Review title 13,"Highly satisfied, the app works exactly as expected.",5,user13,6,8,Website,hi,Qatar,3.5.6,No,Positive,highly satisfied app work exactly expected
2025-02-04,Review title 100,"Excellent app, very easy to use and extremely helpful.",5,user100,111,9,Website,en,India,4.2.1,Yes,Positive,excellent app easy use extremely helpful
,Review title 462,"Not satisfied, many bugs and issues.",1,user462,6,6,Flipkart,ja,Poland,1.2.3,Yes,Negative,satisfied many bug issue
,Review title 486,Works fine but there is room for improvement.,3,user486,121,8,Website,zh,Italy,5.0.3,Yes,Neutral,work fine room improvement
,Review title 31,"Average experience, some features could be improved.",3,user31,139,7,Website,es,Poland,5.0.3,No,Neutral,average experience feature could improved
,Review title 42,Amazing quality and user-friendly interface.,5,user42,120,5,App Store,es,Nepal,1.2.3,No,Positive,amazing quality userfriendly interface
2025-02-01,Review title 114,"Great experience, smooth performance and useful features.",5,user114,180,7,Website,fr,UK,2.1.4,No,Positive,great experience smooth performance useful feature
2024-02-01,Review title 123,"Decent app, neither too good nor too bad.",3,user123,120,8,Amazon,de,USA,3.5.6,Yes,Neutral,decent app neither good bad
,Review title 132,"Average experience, some features could be improved.",3,user132,3,7,Flipkart,ja,Germany,4.2.1,Yes,Neutral,average experience feature could improved
,Review title 9,"Excellent app, very easy to use and extremely helpful.",4,user9,87,9,Amazon,en,Germany,5.0.3,No,Positive,excellent app easy use extremely helpful
,Review title 198,"Decent app, neither too good nor too bad.",3,user198,144,8,Amazon,ja,Poland,3.5.6,No,Neutral,decent app neither good bad
,Review title 363,The app is okay and does its job reasonably well.,3,user363,147,10,Google Play,pt,Nepal,3.5.6,No,Neutral,app okay job reasonably well
,Review title 173,"Not satisfied, many bugs and issues.",1,user173,56,6,Website,hi,Poland,4.2.1,No,Negative,satisfied many bug issue
,Review title 439,"Not bad, but updates are needed for better performance.",3,user439,42,9,App Store,en,India,3.5.6,No,Neutral,bad update needed better performance
2025-04-02,Review title 185,"Waste of time, does not meet expectations.",2,user185,36,7,Amazon,ja,India,2.1.4,No,Negative,waste time meet expectation
,Review title 481,"Not satisfied, many bugs and issues.",1,user481,105,6,Website,hi,Poland,4.2.1,Yes,Negative,satisfied many bug issue
,Review title 64,Very reliable and worth using regularly.,5,user64,49,6,Google Play,es,India,3.5.6,Yes,Positive,reliable worth using regularly
,Review title 263,Works fine but there is room for improvement.,3,user263,173,8,Amazon,fr,USA,1.2.3,No,Neutral,work fine room improvement
,Review title 449,"Not satisfied, many bugs and issues.",2,user449,120,6,Flipkart,en,Italy,4.2.1,No,Negative,satisfied many bug issue
,Review title 119,Amazing quality and user-friendly interface.,5,user119,78,5,Google Play,fr,France,1.2.3,No,Positive,amazing quality userfriendly interface
,Review title 72,"Very disappointing experience, the app crashes often.",2,user72,29,7,Amazon,fr,Kenya,1.2.3,No,Negative,disappointing experience app crash often
,Review title 83,"Excellent app, very easy to use and extremely helpful.",4,user83,85,9,Website,ar,France,5.0.3,No,Positive,excellent app easy use extremely helpful
,Review title 373,"Great experience, smooth performance and useful features.",5,user373,155,7,Website,en,UK,4.2.1,Yes,Positive,great experience smooth performance useful feature
,Review title 484,"Not satisfied, many bugs and issues.",2,user484,80,6,App Store,hi,Nepal,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 480,Works fine but there is room for improvement.,3,user480,142,8,Amazon,ja,Kenya,5.0.3,Yes,Neutral,work fine room improvement
2025-01-05,Review title 433,"Great experience, smooth performance and useful features.",5,user433,118,7,Amazon,pt,Kenya,3.5.6,Yes,Positive,great experience smooth performance useful feature
,Review title 289,The app is okay and does its job reasonably well.,3,user289,26,10,Website,hi,Poland,4.2.1,Yes,Neutral,app okay job reasonably well
2024-06-02,Review title 418,Poor performance and not user-friendly.,2,user418,86,5,Flipkart,ar,USA,5.0.3,No,Negative,poor performance userfriendly
2024-01-04,Review title 489,"Highly satisfied, the app works exactly as expected.",4,user489,123,8,Website,zh,Italy,4.2.1,No,Positive,highly satisfied app work exactly expected
,Review title 224,"Not bad, but updates are needed for better performance.",3,user224,116,9,Amazon,ja,Poland,1.2.3,No,Neutral,bad update needed better performance
,Review title 196,"Decent app, neither too good nor too bad.",3,user196,169,8,Website,zh,Nepal,2.1.4,No,Neutral,decent app neither good bad
,Review title 200,"Not bad, but updates are needed for better performance.",3,user200,112,9,Flipkart,es,Italy,3.5.6,Yes,Neutral,bad update needed better performance
,Review title 176,"Highly satisfied, the app works exactly as expected.",5,user176,75,8,App Store,zh,Germany,2.1.4,Yes,Positive,highly satisfied app work exactly expected
2025-02-01,Review title 186,"Not satisfied, many bugs and issues.",1,user186,139,6,Website,hi,Kenya,2.1.4,No,Negative,satisfied many bug issue
2024-07-09,Review title 409,"Great experience, smooth performance and useful features.",5,user409,90,7,Amazon,fr,Nepal,1.2.3,Yes,Positive,great experience smooth performance useful feature
,Review title 371,Poor performance and not user-friendly.,1,user371,5,5,Website,hi,India,1.2.3,No,Negative,poor performance userfriendly
,Review title 382,Amazing quality and user-friendly interface.,4,user382,9,5,Flipkart,en,Poland,4.2.1,Yes,Positive,amazing quality userfriendly interface
,Review title 487,"Great experience, smooth performance and useful features.",5,user487,171,7,Amazon,ar,Poland,1.2.3,Yes,Positive,great experience smooth performance useful feature
,Review title 361,Very reliable and worth using regularly.,4,user361,135,6,Google Play,zh,Poland,4.2.1,Yes,Positive,reliable worth using regularly
,Review title 363,The app is okay and does its job reasonably well.,3,user363,147,10,Google Play,pt,Nepal,3.5.6,No,Neutral,app okay job reasonably well
2024-02-06,Review title 169,"Very disappointing experience, the app crashes often.",2,user169,16,7,Flipkart,zh,Germany,3.5.6,No,Negative,disappointing experience app crash often
,Review title 438,"Decent app, neither too good nor too bad.",3,user438,192,8,Website,de,UK,1.2.3,No,Neutral,decent app neither good bad
,Review title 452,"Not satisfied, many bugs and issues.",1,user452,50,6,Google Play,pt,Nepal,4.2.1,Yes,Negative,satisfied many bug issue
,Review title 273,"Highly satisfied, the app works exactly as expected.",4,user273,69,8,Google Play,hi,Germany,1.2.3,No,Positive,highly satisfied app work exactly expected
2024-07-06,Review title 426,"Waste of time, does not meet expectations.",2,user426,60,7,Flipkart,en,Poland,4.2.1,Yes,Negative,waste time meet expectation
,Review title 189,"Great experience, smooth performance and useful features.",4,user189,173,7,Flipkart,en,India,4.2.1,Yes,Positive,great experience smooth performance useful feature
,Review title 157,Works fine but there is room for improvement.,3,user157,84,8,Amazon,es,Poland,2.1.4,Yes,Neutral,work fine room improvement
,Review title 52,The app is okay and does its job reasonably well.,3,user52,185,10,Google Play,fr,Kenya,3.5.6,No,Neutral,app okay job reasonably well
,Review title 302,Very reliable and worth using regularly.,5,user302,55,6,Flipkart,hi,Nepal,3.5.6,Yes,Positive,reliable worth using regularly
2024-06-02,Review title 418,Poor performance and not user-friendly.,2,user418,86,5,Flipkart,ar,USA,5.0.3,No,Negative,poor performance userfriendly
,Review title 425,The app is okay and does its job reasonably well.,3,user425,43,10,Website,ja,USA,3.5.6,Yes,Neutral,app okay job reasonably well
,Review title 227,"Not bad, but updates are needed for better performance.",3,user227,143,9,Amazon,ja,Italy,3.5.6,Yes,Neutral,bad update needed better performance
2024-03-07,Review title 67,"Very disappointing experience, the app crashes often.",1,user67,44,7,Flipkart,fr,USA,3.5.6,Yes,Negative,disappointing experience app crash often
,Review title 364,"Terrible experience, needs major improvements.",2,user364,166,5,Google Play,de,Kenya,1.2.3,No,Negative,terrible experience need major improvement
,Review title 389,"Not satisfied, many bugs and issues.",2,user389,171,6,App Store,es,France,3.5.6,No,Negative,satisfied many bug issue
,Review title 48,"Not satisfied, many bugs and issues.",1,user48,87,6,Website,pt,USA,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 290,"Decent app, neither too good nor too bad.",3,user290,182,8,Website,zh,Qatar,5.0.3,Yes,Neutral,decent app neither good bad
2024-06-05,Review title 19,"Excellent app, very easy to use and extremely helpful.",5,user19,33,9,Website,pt,USA,5.0.3,No,Positive,excellent app easy use extremely helpful
2024-07-03,Review title 242,Poor performance and not user-friendly.,1,user242,94,5,Amazon,fr,Germany,5.0.3,No,Negative,poor performance userfriendly
,Review title 81,"Highly satisfied, the app works exactly as expected.",4,user81,91,8,Google Play,pt,Poland,5.0.3,Yes,Positive,highly satisfied app work exactly expected
2025-02-01,Review title 334,"Excellent app, very easy to use and extremely helpful.",4,user334,12,9,Google Play,ja,Italy,1.2.3,Yes,Positive,excellent app easy use extremely helpful
,Review title 164,"Not satisfied, many bugs and issues.",1,user164,197,6,Website,de,Nepal,5.0.3,No,Negative,satisfied many bug issue
,Review title 24,Poor performance and not user-friendly.,2,user24,126,5,Google Play,fr,Qatar,2.1.4,Yes,Negative,poor performance userfriendly
,Review title 473,"Average experience, some features could be improved.",3,user473,106,7,Amazon,en,India,5.0.3,Yes,Neutral,average experience feature could improved
,Review title 148,Amazing quality and user-friendly interface.,4,user148,9,5,Website,hi,France,5.0.3,No,Positive,amazing quality userfriendly interface
,Review title 291,"Highly satisfied, the app works exactly as expected.",4,user291,73,8,Flipkart,fr,Nepal,2.1.4,Yes,Positive,highly satisfied app work exactly expected
2025-01-09,Review title 437,"Waste of time, does not meet expectations.",1,user437,65,7,Website,de,Qatar,1.2.3,No,Negative,waste time meet expectation
,Review title 94,"Waste of time, does not meet expectations.",1,user94,63,7,Website,pt,India,4.2.1,Yes,Negative,waste time meet expectation
,Review title 481,"Not satisfied, many bugs and issues.",1,user481,105,6,Website,hi,Poland,4.2.1,Yes,Negative,satisfied many bug issue
,Review title 136,"Average experience, some features could be improved.",3,user136,69,7,App Store,pt,France,1.2.3,No,Neutral,average experience feature could improved
2024-05-06,Review title 407,"Terrible experience, needs major improvements.",2,user407,110,5,App Store,zh,USA,3.5.6,Yes,Negative,terrible experience need major improvement
2024-08-07,Review title 356,Amazing quality and user-friendly interface.,5,user356,120,5,Flipkart,ar,Nepal,2.1.4,No,Positive,amazing quality userfriendly interface
,Review title 107,"Terrible experience, needs major improvements.",2,user107,77,5,Google Play,en,India,3.5.6,Yes,Negative,terrible experience need major improvement
,Review title 31,"Average experience, some features could be improved.",3,user31,139,7,Website,es,Poland,5.0.3,No,Neutral,average experience feature could improved
,Review title 122,"Not bad, but updates are needed for better performance.",3,user122,26,9,App Store,ar,Poland,1.2.3,Yes,Neutral,bad update needed better performance
2025-02-08,Review title 85,"Excellent app, very easy to use and extremely helpful.",5,user85,196,9,Website,ja,USA,5.0.3,No,Positive,excellent app easy use extremely helpful
,Review title 430,Works fine but there is room for improvement.,3,user430,166,8,App Store,es,France,5.0.3,No,Neutral,work fine room improvement
2024-02-06,Review title 169,"Very disappointing experience, the app crashes often.",2,user169,16,7,Flipkart,zh,Germany,3.5.6,No,Negative,disappointing experience app crash often
,Review title 497,"Great experience, smooth performance and useful features.",5,user497,48,7,Google Play,fr,Nepal,2.1.4,No,Positive,great experience smooth performance useful feature
2025-05-02,Review title 108,"Not satisfied, many bugs and issues.",1,user108,38,6,Amazon,ja,Germany,2.1.4,Yes,Negative,satisfied many bug issue
2024-07-01,Review title 344,Very reliable and worth using regularly.,4,user344,54,6,Flipkart,ja,Nepal,5.0.3,Yes,Positive,reliable worth using regularly
,Review title 136,"Average experience, some features could be improved.",3,user136,69,7,App Store,pt,France,1.2.3,No,Neutral,average experience feature could improved
,Review title 299,Works fine but there is room for improvement.,3,user299,167,8,Flipkart,ja,Poland,1.2.3,No,Neutral,work fine room improvement
,Review title 347,Very reliable and worth using regularly.,5,user347,150,6,Website,fr,India,3.5.6,No,Positive,reliable worth using regularly
2024-03-07,Review title 428,"Decent app, neither too good nor too bad.",3,user428,69,8,Google Play,ja,Nepal,4.2.1,No,Neutral,decent app neither good bad
,Review title 146,"Terrible experience, needs major improvements.",1,user146,200,5,Website,ar,Germany,1.2.3,Yes,Negative,terrible experience need major improvement
,Review title 168,"Very disappointing experience, the app crashes often.",2,user168,44,7,Website,de,Kenya,3.5.6,Yes,Negative,disappointing experience app crash often
,Review title 430,Works fine but there is room for improvement.,3,user430,166,8,App Store,es,France,5.0.3,No,Neutral,work fine room improvement
,Review title 308,Amazing quality and user-friendly interface.,5,user308,40,5,Google Play,hi,France,3.5.6,No,Positive,amazing quality userfriendly interface
,Review title 383,The app is okay and does its job reasonably well.,3,user383,112,10,Google Play,de,India,4.2.1,Yes,Neutral,app okay job reasonably well
,Review title 257,Amazing quality and user-friendly interface.,5,user257,178,5,Website,ar,Italy,4.2.1,No,Positive,amazing quality userfriendly interface
,Review title 341,"Highly satisfied, the app works exactly as expected.",4,user341,154,8,Amazon,fr,India,2.1.4,No,Positive,highly satisfied app work exactly expected
,Review title 484,"Not satisfied, many bugs and issues.",2,user484,80,6,App Store,hi,Nepal,3.5.6,Yes,Negative,satisfied many bug issue
2024-08-02,Review title 253,The app is okay and does its job reasonably well.,3,user253,108,10,Amazon,en,Kenya,4.2.1,No,Neutral,app okay job reasonably well
,Review title 259,"Excellent app, very easy to use and extremely helpful.",5,user259,47,9,Website,ar,Germany,5.0.3,Yes,Positive,excellent app easy use extremely helpful
,Review title 398,"Very disappointing experience, the app crashes often.",2,user398,197,7,Flipkart,pt,Nepal,1.2.3,Yes,Negative,disappointing experience app crash often
,Review title 392,"Very disappointing experience, the app crashes often.",2,user392,85,7,Amazon,pt,Kenya,1.2.3,Yes,Negative,disappointing experience app crash often
,Review title 403,"Very disappointing experience, the app crashes often.",2,user403,30,7,Flipkart,fr,Germany,3.5.6,Yes,Negative,disappointing experience app crash often
,Review title 12,"Not bad, but updates are needed for better performance.",3,user12,153,9,Google Play,hi,Poland,4.2.1,No,Neutral,bad update needed better performance
,Review title 307,"Great experience, smooth performance and useful features.",5,user307,189,7,App Store,hi,Kenya,4.2.1,Yes,Positive,great experience smooth performance useful feature
2024-03-06,Review title 458,Amazing quality and user-friendly interface.,4,user458,195,5,App Store,fr,Qatar,2.1.4,No,Positive,amazing quality userfriendly interface
,Review title 243,"Terrible experience, needs major improvements.",2,user243,120,5,Amazon,zh,Nepal,3.5.6,Yes,Negative,terrible experience need major improvement
2024-02-04,Review title 140,"Waste of time, does not meet expectations.",1,user140,107,7,Website,zh,USA,4.2.1,Yes,Negative,waste time meet expectation
,Review title 377,"Not satisfied, many bugs and issues.",2,user377,141,6,Website,en,USA,3.5.6,No,Negative,satisfied many bug issue
2024-08-09,Review title 268,"Decent app, neither too good nor too bad.",3,user268,93,8,Website,zh,Italy,5.0.3,Yes,Neutral,decent app neither good bad
2024-08-02,Review title 253,The app is okay and does its job reasonably well.,3,user253,108,10,Amazon,en,Kenya,4.2.1,No,Neutral,app okay job reasonably well
,Review title 26,The app is okay and does its job reasonably well.,3,user26,88,10,Website,en,UK,1.2.3,Yes,Neutral,app okay job reasonably well
,Review title 167,"Average experience, some features could be improved.",3,user167,163,7,Flipkart,en,Kenya,5.0.3,Yes,Neutral,average experience feature could improved
2024-07-02,Review title 192,"Average experience, some features could be improved.",3,user192,177,7,App Store,zh,France,1.2.3,Yes,Neutral,average experience feature could improved
,Review title 380,"Terrible experience, needs major improvements.",2,user380,120,5,Google Play,fr,USA,2.1.4,No,Negative,terrible experience need major improvement
2024-02-03,Review title 311,"Highly satisfied, the app works exactly as expected.",4,user311,168,8,App Store,ja,Poland,2.1.4,No,Positive,highly satisfied app work exactly expected
,Review title 49,Works fine but there is room for improvement.,3,user49,143,8,Amazon,ar,Italy,2.1.4,Yes,Neutral,work fine room improvement
2025-03-03,Review title 358,"Terrible experience, needs major improvements.",2,user358,146,5,Flipkart,ar,France,5.0.3,No,Negative,terrible experience need major improvement
,Review title 240,Poor performance and not user-friendly.,1,user240,190,5,Website,ar,Germany,5.0.3,No,Negative,poor performance userfriendly
2025-01-02,Review title 131,Very reliable and worth using regularly.,5,user131,170,6,Google Play,ar,Kenya,3.5.6,No,Positive,reliable worth using regularly
,Review title 3,"Terrible experience, needs major improvements.",2,user3,154,5,Flipkart,pt,USA,1.2.3,No,Negative,terrible experience need major improvement
,Review title 317,"Highly satisfied, the app works exactly as expected.",5,user317,120,8,Website,fr,Germany,1.2.3,Yes,Positive,highly satisfied app work exactly expected
,Review title 198,"Decent app, neither too good nor too bad.",3,user198,144,8,Amazon,ja,Poland,3.5.6,No,Neutral,decent app neither good bad
,Review title 399,"Waste of time, does not meet expectations.",1,user399,36,7,Amazon,de,Poland,5.0.3,Yes,Negative,waste time meet expectation
2024-06-02,Review title 15,Works fine but there is room for improvement.,3,user15,78,8,Flipkart,hi,USA,3.5.6,Yes,Neutral,work fine room improvement
2025-04-01,Review title 413,The app is okay and does its job reasonably well.,3,user413,80,10,Flipkart,pt,Kenya,1.2.3,Yes,Neutral,app okay job reasonably well
2024-05-06,Review title 332,"Waste of time, does not meet expectations.",2,user332,177,7,Google Play,zh,Qatar,1.2.3,Yes,Negative,waste time meet expectation
,Review title 221,The app is okay and does its job reasonably well.,3,user221,167,10,Amazon,ar,Qatar,1.2.3,Yes,Neutral,app okay job reasonably well
,Review title 442,Works fine but there is room for improvement.,3,user442,150,8,Amazon,hi,Nepal,3.5.6,No,Neutral,work fine room improvement
,Review title 272,"Not satisfied, many bugs and issues.",1,user272,161,6,App Store,fr,Kenya,3.5.6,Yes,Negative,satisfied many bug issue
2024-05-08,Review title 147,"Average experience, some features could be improved.",3,user147,126,7,Flipkart,ar,Kenya,2.1.4,No,Neutral,average experience feature could improved
,Review title 481,"Not satisfied, many bugs and issues.",1,user481,105,6,Website,hi,Poland,4.2.1,Yes,Negative,satisfied many bug issue
,Review title 412,The app is okay and does its job reasonably well.,3,user412,185,10,Amazon,hi,Poland,2.1.4,Yes,Neutral,app okay job reasonably well
,Review title 442,Works fine but there is room for improvement.,3,user442,150,8,Amazon,hi,Nepal,3.5.6,No,Neutral,work fine room improvement
